NAME,LONGITUDE,LATITUDE,CATEGORY,STATE,Elevation,LC_Type2,FLD_ELEV,FLD_ZONE,CFLD_RISKS,RFLD_RISKS,HRCN_RISKS
Ameri Tech Kidney Center Arlington,-97.14918944837869,32.7243182693267,DC,TX,170.0,13,617.07,X,0.0,13.349857546740026,3.187237611152708
Harris Methodist Ft Worth-Dialysis,-97.339037549919,32.7383860266927,DC,TX,212.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
Rcg Mineola Dialysis,-95.48722825255359,32.6761799652608,DC,TX,116.0,9,0.0,A,0.0,17.824734591001143,6.56356900093289
S Arlington Dialysis Center,-97.1278688960127,32.692491915575296,DC,TX,197.0,13,617.07,X,0.0,1.9183122673545536,3.0101393683242286
SouthWest Ft Worth Dialysis Center-,-97.41282467363928,32.714593825985304,DC,TX,208.0,13,617.07,X,0.0,10.668309521825996,2.933238826165161
Fresenius Mission,-98.3018493918864,26.198000282878,DC,TX,28.0,10,0.0,Nan,0.0,12.942125254743535,25.574886440927525
Tarrant Dialysis Center Arlington,-97.135345148799,32.750234999999996,DC,TX,178.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
Renal Care Group Athens,-95.8522920306294,32.1995793716882,DC,TX,147.0,13,603.27,AE,0.0,5.86971533774067,4.297456280122649
Mission Kidney Center,-98.3178064072941,26.197501220122103,DC,TX,31.0,10,0.0,Nan,0.0,12.942125254743535,25.574886440927525
Tarrant County Campus Dialysis,-97.2971482706443,32.6746375578511,DC,TX,193.0,10,617.07,X,0.0,10.069457947275746,3.857389507278806
"Renal Center Of Athens, Lp",-95.85963336193649,32.1873254304921,DC,TX,142.0,13,603.27,AE,0.0,5.86971533774067,4.297456280122649
Tarrant Dialysis Center,-97.3355322726931,32.7384325028855,DC,TX,188.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
Fort Bend Dialysis,-95.5650207783772,29.582452523948607,DC,TX,25.0,13,86.02,Nan,0.0,17.990758808521992,40.57364267220932
Ne Texas Dialysis Unit,-94.17743334324021,33.1269969422357,DC,TX,102.0,8,248.67,Nan,0.0,17.668281917071297,5.1203391027567955
Brackenridge Renal Clinic,-97.7464354044372,30.306682319061302,DC,TX,178.0,13,618.02,AO,0.0,11.768888792635035,8.60066110745046
Missouri City Dialysis Center,-95.5410830899037,29.583189,DC,TX,33.0,13,86.02,Nan,0.0,22.62504372940912,61.60174472792364
Tarrant Dialysis Center Central,-97.2628547883332,32.7140360556032,DC,TX,190.0,13,617.07,X,0.0,4.231469642519482,3.1622595189627685
Capital Dialysis Of Texas Ltd,-97.69776056575694,30.289437882567,DC,TX,180.0,10,618.02,AO,0.0,19.59604473166903,9.532837800247558
Mt Pleasant Dialysis Center Inc,-94.968527733296,33.1503854100935,DC,TX,119.0,13,363.14,AE,0.0,6.572657322296232,3.9947121104960788
Tarrant Dialysis Of Tarrant County,-97.33581,32.7384325028855,DC,TX,188.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
Capital Dialysis Of Texas Ltd Metric,-97.7162773610998,30.380298683882398,DC,TX,238.0,13,618.02,AO,0.0,13.892950621502465,9.166352657018264
DCI Dialysis Care Services,-94.6510158295191,31.6520148295191,DC,TX,115.0,9,298.35,AE,0.0,13.464900144349574,13.76745734105382
Texas Renal Ventures,-97.36805100740999,32.749072491082,DC,TX,174.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
Capital Dialysis Of Texas Southwood,-97.78558993649428,30.2281867800803,DC,TX,211.0,13,618.02,AO,0.0,11.946716446906516,8.259970084665968
Childrens Dialysis Clinic Of Central Texas,-97.7321191407465,30.2738560607939,DC,TX,166.0,13,618.02,AO,0.0,8.594061413123198,9.166018864573006
Memorial Hospital Dialysis Unit Hemo Dept,-94.64943925737231,31.6128778323619,DC,TX,90.0,13,298.35,AE,0.0,18.295914229614148,15.714851911108909
Trinity Dialysis Center,-97.33398097070659,32.7399937190189,DC,TX,183.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
DaVita El Milagro Dialysis Unit,-97.7449676887585,30.2282695725949,DC,TX,198.0,13,618.02,AO,0.0,13.892950621502465,9.166352657018264
DaVita Moncrief Dialysis Center,-97.743408339431,30.302088211783598,DC,TX,187.0,13,618.02,AO,0.0,11.768888792635035,8.60066110745046
Davita New Braunfels Dialysis,-98.1037917082351,29.719148950603,DC,TX,194.0,13,876.03,AO,0.0,43.97053484938277,4.481479562917765
Dialysis Cottage,-97.16207277087707,33.6452954807178,DC,TX,229.0,13,710.09,AE,0.0,22.220889355848797,3.0678537919298132
DaVita South Austin Dialysis,-97.7846971926536,30.2021096419872,DC,TX,211.0,13,618.02,AO,0.0,13.892950621502465,9.166352657018264
Fresenius - New Braunfels Dialysis,-98.0898753422583,29.711257815713505,DC,TX,192.0,10,876.03,AO,0.0,43.97053484938277,4.481479562917765
"North Texas Dialysis Services, Llc",-97.13389049999992,33.6241545428474,DC,TX,226.0,13,710.09,AE,0.0,35.96876976209851,3.747759928776973
DaVita Waterloo Dialysis Center,-97.7397249059378,30.310525088550897,DC,TX,202.0,13,618.02,AO,0.0,11.768888792635035,8.60066110745046
Odessa Kidney Dialysis Center,-102.31555614669,31.8946491990589,DC,TX,883.0,13,2912.29,Nan,0.0,10.88713780081156,2.9320106260815253
The Dialysis Cottage,-97.16207277087707,33.6452954807178,DC,TX,229.0,13,710.09,AE,0.0,22.220889355848797,3.0678537919298132
National Nathology Associattes Central,-97.7419162159099,30.323713849039002,DC,TX,195.0,13,618.02,AO,0.0,16.471892059959046,8.786726413566235
Permian Basin Dialysis Center Odessa,-102.353582600155,31.8593952320752,DC,TX,888.0,13,2912.29,Nan,0.0,3.48645976019673,3.2909659245750684
Island Dialysis Center,-94.7718208476384,29.3055484955084,DC,TX,4.0,13,18.75,Nan,7.56859762350253,27.839076716269002,68.79312653847778
Renal Care Group North,-97.70795621862908,30.412245045875398,DC,TX,223.0,13,618.02,AO,0.0,13.892950621502465,9.166352657018264
Biotronics Kidney Center Of Orange,-93.7807933953771,30.1028228917505,DC,TX,9.0,13,15.6,Nan,9.529034825578565,39.79482422923772,61.79081957331067
University Of Texas Medical Branch - Dialysis,-94.7748291812685,29.311333377312003,DC,TX,7.0,13,18.75,Nan,9.746567028257623,74.88860743515231,73.85728106766328
Renal Care Group South,-97.7730745011251,30.2253125256507,DC,TX,205.0,13,618.02,AO,0.0,24.592877793317776,9.670119165501847
Orange Dialysis Center,-93.7657030516411,30.097330687471104,DC,TX,11.0,13,15.6,Nan,8.405348200554114,33.96949649575073,49.23922506439715
Towngate Dialysis Center,-96.6569015516473,32.8641665060585,DC,TX,179.0,13,508.55,AE,0.0,7.0183075656152845,3.63260880031152
Renal Care Bastrop,-97.3302773696694,30.109513837122396,DC,TX,111.0,9,373.94,AO,0.0,30.930125210990656,12.075960047891115
Renal Dialysis Center Bay City,-95.96789264721001,28.992987282820703,DC,TX,24.0,13,39.89,Nan,5.468230163969717,22.65570424484984,63.08835888451951
RCG Palestine,-95.62569893903307,31.730402012205,DC,TX,163.0,8,379.81,AE,0.0,11.622142638781213,4.427976028533728
DaVita Gilmer,-94.94255489186108,32.7329132517371,DC,TX,121.0,9,297.27,AE,0.0,15.969565312064152,7.126251424592191
Baytown Dialysis,-94.98348313780359,29.760721519331398,DC,TX,9.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
Pampa Dialysis Center,-100.96751549166001,35.5662980627845,DC,TX,986.0,13,3203.2,A,0.0,9.775585418771085,4.24602863164816
Rcg Gilmer,-94.9632915939752,32.7287562802532,DC,TX,105.0,13,297.27,AE,0.0,15.969565312064152,7.126251424592191
Biotronics Kidney Center Of Beaumont,-94.13042383236193,30.083765481245397,DC,TX,12.0,13,0.0,Nan,6.986030493897216,0.0,56.08325461639008
DaVita Gonzales Dialysis Center,-97.43351794846821,29.5198109117948,DC,TX,105.0,10,332.15,AE,0.0,65.84017000438152,10.234912885379318
Watson W Wise Dialysis,-95.5258664759357,33.660368664723805,DC,TX,179.0,13,537.99,Nan,0.0,21.803801317509475,4.11317931615445
Fresenius - Golden Triangle Dialysis Center,-94.1453427783773,30.0842095561203,DC,TX,14.0,13,0.0,Nan,11.237002061249305,33.91984675829765,71.26379948965419
RCG Beaumont,-94.1097281380804,30.082919985314998,DC,TX,9.0,13,0.0,Nan,6.165838402073027,13.240531821910348,52.43547309718256
FMC Granbury Dialysis Center,-97.7684452994977,32.433216601708196,DC,TX,216.0,12,716.3,Nan,0.0,19.53239185783337,3.372390948577178
Bayshore Dialysis Center,-95.16757997155052,29.665407535057202,DC,TX,14.0,13,92.02,VE,0.0,11.682579004208755,43.85426734322628
Ameri Tech Kidney Center Heb,-97.1333697616715,32.8329313965323,DC,TX,181.0,13,617.07,X,0.0,15.522367471552935,3.825675559126565
"Grand Prairie Dialysis Center, Inc",-97.01465925407801,32.7396943711103,DC,TX,148.0,13,508.55,AE,0.0,13.069715977630944,3.796119633850339
DaVita Pearland Dialysis,-95.3188321875178,29.5594125455887,DC,TX,13.0,13,36.99,Nan,5.867301700670153,35.750131592785586,57.977846089964544
DaVita HEB Dialysis Center,-97.160741441889,32.8373289528247,DC,TX,182.0,13,617.07,X,0.0,13.756267318957047,3.0702781618067125
Tarrant Dialysis Center-grand Prairie,-97.0180005271455,32.7549703851532,DC,TX,149.0,13,508.55,AE,0.0,6.364169517663362,3.2489124964776037
Fresenius Dialysis Services Of Pearland,-95.23972949847072,29.547732575595997,DC,TX,11.0,13,36.99,Nan,5.867301700670153,35.750131592785586,57.977846089964544
Beeville Dialysis,-97.7487599999999,28.40253,DC,TX,64.0,13,210.43,AE,0.0,30.477484574768628,9.809707430979266
Fresenius Northeast Texas Dialysis Center,-96.10922355528228,33.121911153094004,DC,TX,165.0,13,506.86,Nan,0.0,28.511975206967012,2.8962769040605116
DaVita Pearsall,-99.0921386813814,28.9025059710179,DC,TX,188.0,10,0.0,Nan,0.0,23.48069857620864,10.315347099043883
Bellmead Kidney Disease Center,-97.105133959317,31.58669615215361,DC,TX,130.0,10,515.25,AE,0.0,13.131196223308056,4.803657883870245
Bma Ne Ft Worth,-97.2645109474563,32.8246599737281,DC,TX,170.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
DaVita Brenham,-96.3962043239852,30.14365234437689,DC,TX,102.0,9,287.78,Nan,0.0,21.174302464426376,38.20456633409826
Reeves County Hospital Dialysis Center,-103.512850033397,31.401780653741003,DC,TX,790.0,13,0.0,Nan,0.0,27.584914841387445,3.517582321944862
BMA Of Brownsville,-97.5075811596748,25.9380294940273,DC,TX,10.0,13,23.84,Nan,2.541903443469189,32.589517439065396,37.33572284356971
Harlingen Dialysis,-97.6802422981212,26.1643976450693,DC,TX,16.0,13,23.84,Nan,3.583978156058577,38.56052647983313,48.65528058004837
Renal Center Of Plainview,-101.750470846843,34.1900858231228,DC,TX,823.0,13,3366.24,AH,0.0,21.45953345264144,0.0
Brownsville Kidney Center,-97.5082358837495,25.9446922692307,DC,TX,18.0,13,23.84,Nan,2.541903443469189,32.589517439065396,37.33572284356971
Rcg Harlingen,-97.6689842467538,26.171195803508397,DC,TX,16.0,13,23.84,Nan,6.096746861647754,19.771515870175946,39.99138942710951
Fresenius Collin County Dialysis,-96.69880688044441,33.040818043391496,DC,TX,200.0,13,624.24,AE,0.0,16.534102571526102,3.245998906176443
Fresenius Dialysis Services Of North Brownsville,-97.5035141344863,25.9434311973855,DC,TX,9.0,13,23.84,Nan,4.875613205679018,22.80918877275885,43.400826374576596
Port Arthur Dialysis Center,-93.9242442448206,29.9078641557215,DC,TX,15.0,13,0.0,Nan,8.900649645894589,0.0,41.1386535457234
Valley Baptist Dialysis Center (in patient & out-patient),-97.6671774370703,26.1772940495994,DC,TX,18.0,13,23.84,Nan,6.096746861647754,19.771515870175946,39.99138942710951
Brownwood Renal Care Center,-98.9957719648712,31.679065994170003,DC,TX,432.0,13,1373.63,Nan,0.0,31.550909755387092,10.247440686290718
Tarrant Dialysis S Ft Worth,-97.31670019643192,32.5843073091985,DC,TX,202.0,10,617.07,X,0.0,14.616614962539847,4.0991813668281605
Renal Care Group Neederland,-93.98500856944959,29.953499317445196,DC,TX,13.0,13,0.0,Nan,8.435571978093463,15.373221425553513,45.484302057942465
DaVita Henderson Dialysis Center,-94.7856605329797,32.1638733275145,DC,TX,138.0,9,377.33,AE,0.0,9.00481374857997,12.947343616319776
Bio Medical Applications Of Texas Inc,-99.8626926209474,28.5191992930175,DC,TX,183.0,10,0.0,Nan,0.0,38.92387196647867,10.567705275924286
SE Texas Kidney Center,-93.9214030561957,29.9091529605131,DC,TX,8.0,13,0.0,Nan,11.354466584930835,0.0,48.64594083425046
Hereford Dialysis Center,-102.405490138392,34.8341082116812,DC,TX,1172.0,12,0.0,Nan,0.0,12.775968162290196,0.0
Renal Center Of Carrollton,-96.8492793387108,33.024199977234694,DC,TX,203.0,13,579.13,AE,0.0,5.15469011816718,2.492702984436202
Memorial Medical Plaza Dialysis Center,-96.6346461292494,28.6245089175132,DC,TX,9.0,13,13.82,Nan,11.341690979006884,18.997808588841185,66.61284637306325
Medina County Dialysis,-99.1355750603899,29.334879251457,DC,TX,266.0,12,863.17,Nan,0.0,38.58340934489753,8.895351518143547
Carthage Dialysis Center,-94.34388259286621,32.1311599639708,DC,TX,82.0,8,0.0,Nan,0.0,3.7061355281827812,14.715054986533765
Raymondville Dialysis Center,-97.77134102880241,26.4669890064237,DC,TX,16.0,10,0.0,Nan,4.316399961964634,45.59615556718156,45.153324850085404
Acres Home Dialysis Llp,-95.4095383480007,29.8644936705522,DC,TX,33.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
Castroville Kidney Disease Center,-98.8830638257255,29.3526241565868,DC,TX,239.0,12,863.17,Nan,0.0,32.88499991867838,8.19665466306187
Bma Rio Grande City,-98.86010100995293,26.3752476530131,DC,TX,65.0,10,0.0,A,0.0,39.0733586909178,18.22061750254785
RCG-Center Dialysis,-94.161568033698,31.813034323476,DC,TX,89.0,8,0.0,Nan,0.0,21.8005651453567,22.701805472561997
Beechnut Dialysis Center,-95.5319640630932,29.692224252638606,DC,TX,25.0,13,92.02,VE,3.3660760808879133,29.233416657898086,49.071698285189235
Starr Dialysis Center Ltd,-98.86022685616508,26.375138326212106,DC,TX,65.0,10,0.0,A,0.0,39.0733586909178,18.22061750254785
DaVita-channelview,-95.12474415921257,29.7867776333602,DC,TX,13.0,13,92.02,VE,5.0526771294816575,37.11751751321975,49.02240860253188
Central Houston Dialysis,-95.2992917436954,29.7347074176815,DC,TX,18.0,13,92.02,VE,8.011906505118054,18.898876449171745,50.01968298196226
Dialysis Specialists Childress,-100.228639391789,34.438488342273004,DC,TX,596.0,13,0.0,Nan,0.0,0.9052644681654092,1.8973249045625231
Renal Care Group - robstown,-97.6683799635874,27.783243083819,DC,TX,26.0,12,38.13,Nan,3.0368000107941024,4.561622498335897,38.35765197001406
DaVita - Reliant Dialysis Clinic,-95.4104634002796,29.690942558611887,DC,TX,16.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
Cleburne Dialysis Center,-97.3823409744647,32.420762531738895,DC,TX,243.0,10,737.88,Nan,0.0,15.467118700886388,4.720909360393494
FMC Rosenberg Dialysis,-95.7809699834958,29.565160928703108,DC,TX,36.0,13,86.02,Nan,0.0,0.0,68.48251102877988
DaVita Brookhollow Dialysis,-95.4629010173181,29.819682785119802,DC,TX,31.0,13,92.02,VE,2.083289266239771,46.587343448007914,52.172181189535294
DaVita Cleveland Dialysis Center,-95.0827737421595,30.3409767421595,DC,TX,46.0,9,91.0,AE,2.4540445720454485,28.61660326216906,62.03826514723837
Carr Dialysis Center Ltd,-97.7111790817415,30.512802928126106,DC,TX,244.0,13,744.19,AE,0.0,4.505249250887426,7.168910692285866
DaVita Cyfair Dialysis Center,-95.5844922957764,29.906532000000002,DC,TX,40.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
DaVita Bryan College Station,-96.3281971324366,30.633910214322402,DC,TX,91.0,13,280.0,Nan,0.0,23.110514198880143,12.057333881083085
Renal Care Group,-97.6691751984247,30.538653551994,DC,TX,224.0,13,744.19,AE,0.0,7.307267467254822,6.7837746616116545
DaVita Downtown Houston,-95.36722072326741,29.744373395493106,DC,TX,17.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
DaVita Conroe Dialysis Center,-95.4661714153166,30.2846914135839,DC,TX,45.0,13,194.29,Nan,0.0,29.911338809793268,61.90470336576537
DaVita Riverpark Dialysis,-95.4713786356886,30.2812852083042,DC,TX,59.0,13,194.29,Nan,0.0,29.911338809793268,61.90470336576537
DaVita Healthcare Houston,-95.3785488704913,29.6858027913595,DC,TX,15.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
Shannon Dialysis Services,-100.40492297259001,31.470732503317198,DC,TX,563.0,10,1918.77,Nan,0.0,7.287286949801918,3.7332005708654283
Coastal Blend Renal Dialysis,-97.4013661232613,27.762183032460108,DC,TX,16.0,13,38.13,Nan,0.0,0.0,42.52845820613968
DaVita Houston Heights,-95.4032621647238,29.8048685467426,DC,TX,30.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
W Tx Renal Care Center,-100.46850613486001,31.418015156789302,DC,TX,576.0,13,1918.77,Nan,0.0,8.850890554789252,3.121778000878943
Fresenius Dialysis Specialists Central,-97.3628643,27.7007851000001,DC,TX,18.0,13,38.13,Nan,3.0368000107941024,4.561622498335897,38.35765197001406
DaVita Houston Kidney Center Cypress Station,-95.44191381018119,30.017404726978,DC,TX,40.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
Brooke Army Medical Center -Dialysis,-98.4181337514793,29.459226223583304,DC,TX,193.0,13,832.17,AO,0.0,10.586506321546707,6.8080385890709385
Fresenius Dialysis Specialists Of South Texas,-97.3927278889436,27.719111373362107,DC,TX,15.0,13,38.13,Nan,0.0,0.0,50.240007630623104
DaVita Houston Kidney Center Southwest,-95.5634645298057,29.659417984448105,DC,TX,27.0,13,92.02,VE,2.471036520948178,47.816382049601785,41.29012507500491
Christus Childrens Kidney Center,-98.49792329176479,29.4275885293434,DC,TX,194.0,13,832.17,AO,0.0,20.278806693314728,10.189826633190195
NRI RENAL INC - RIVERSIDE,-97.5961149442105,27.8576018009356,DC,TX,14.0,13,38.13,Nan,5.843433475043094,8.63126623293571,33.91895869213441
DaVita Northwest San Antonio Dialysis Center,-98.5715250588034,29.515568740233,DC,TX,307.0,13,832.17,AO,0.0,17.328036327089634,7.768670981180782
DaVita Lone Star Dialysis,-95.2649351453628,29.6438673039125,DC,TX,13.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
RCG  Southside,-97.3806571867611,27.7287902151154,DC,TX,14.0,13,38.13,Nan,1.6436707591224218,2.640243748191371,41.50558133697192
DaVita Rivercenter Dialysis,-98.4831729999998,29.4376678999999,DC,TX,193.0,13,832.17,AO,0.0,15.061196748630445,6.918214613475152
DaVita Med Center Dialysis,-95.3799400925902,29.719441843470396,DC,TX,18.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
RCG Of Riverside,-97.6294084614803,27.859413403571896,DC,TX,32.0,13,38.13,Nan,4.7823881029821536,8.823037753662652,37.37552212292461
DaVita San Antonio,-98.60256459703359,29.4646954190951,DC,TX,221.0,13,832.17,AO,0.0,1.5387333686719489,7.529764947196737
DaVita Memorial Dialysis Center,-95.58922347016559,29.7841655233717,DC,TX,28.0,13,92.02,VE,0.9574956999750528,28.02480293784472,40.85218329596224
Renal Care Group Bay Area Dialysis,-97.3974496604715,27.7809573869,DC,TX,16.0,13,38.13,Nan,3.0368000107941024,4.561622498335897,38.35765197001406
DaVita San Antonio Dialysis Center,-98.4772980010965,29.4214240019905,DC,TX,193.0,13,832.17,AO,0.0,0.0,8.093597280258544
DaVita North Houston Dialysis Center,-95.384308541719,29.8701299443746,DC,TX,23.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
Fresenius Corsicana,-96.47864729889221,32.0909906710718,DC,TX,138.0,13,407.25,Nan,0.0,26.5427998408421,3.414886763782401
DaVita South San Antonio Dialysis,-98.47718183469921,29.3540712076573,DC,TX,181.0,13,832.17,AO,0.0,42.47721417222104,7.760585863311037
DaVita Northstar Dialysis Center,-95.40519063220673,29.86993003393411,DC,TX,23.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
Renal Care Gp Tx Inc,-95.4390596718512,31.3274710333541,DC,TX,108.0,10,294.68,Nan,0.0,18.808228738762,18.04084288311538
DaVita Southwest San Antonio,-98.54776822228649,29.3589369652895,DC,TX,202.0,13,832.17,AO,0.0,10.024913322550015,8.640645809197544
DaVita Northwest Houston Kidney Center,-95.4677949883729,29.8180064788804,DC,TX,32.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
DaVita Cuero Kidney Dialysis Center,-97.2834920817092,29.1046035311098,DC,TX,57.0,10,174.37,AE,0.0,66.77013441873096,20.211262252727693
DaVita Southwest San Antonio Dialysis Center,-98.5466293853121,29.3530110518477,DC,TX,200.0,13,832.17,AO,0.0,2.15387316994328,9.650254641454355
Baylor Univ Medical Center-Dialysis,-96.7805517104602,32.7907265747152,DC,TX,174.0,13,508.55,AE,0.0,0.0,2.289184409897771
DaVita Omni Dialysis Center,-95.41331133637527,29.6681504867767,DC,TX,26.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
FMC - North Central Kidney Disease Center,-98.49188604478071,29.61282868495029,DC,TX,298.0,13,832.17,AO,0.0,15.061196748630445,6.918214613475152
BMA Of Dallas Central,-96.690837409256,32.7707448520114,DC,TX,157.0,13,508.55,AE,0.0,7.5057202972685815,3.7479944526513855
DaVita PDI North Houston,-95.29889120306791,29.8063497654707,DC,TX,22.0,13,92.02,VE,1.6143672087811882,51.21645488792112,46.78089777282566
FMC Broadway Kidney Disease Center,-98.4576739411211,29.5201325072117,DC,TX,239.0,13,832.17,AO,0.0,21.56335028998448,8.563885327621069
Childrens Medical Center Dallas Dialysis Unit,-96.8362013941466,32.8088641768096,DC,TX,140.0,13,508.55,AE,0.0,6.8989536202163695,3.1901008175861603
FMC Ne San Antonio,-98.41941,29.516393492785696,DC,TX,193.0,13,832.17,AO,0.0,28.93030183989727,8.722159539270557
DaVita PDI South Houston,-95.3273262455467,29.6916856393122,DC,TX,23.0,13,92.02,VE,0.0,0.0,43.33380388704113
Dallas East Dialysis,-96.7829838982344,32.7938903677075,DC,TX,152.0,13,508.55,AE,0.0,0.0,2.289184409897771
DaVita Dallas East,-96.68232658637041,32.8057333553851,DC,TX,174.0,13,508.55,AE,0.0,12.5647195672427,4.628011150905004
Fresenius - Alamo City,-98.48727700535342,29.437485163554502,DC,TX,198.0,13,832.17,AO,0.0,15.061196748630445,6.918214613475152
DaVita Sagemount Dialysis,-95.2143976903298,29.584142354738606,DC,TX,16.0,13,92.02,VE,3.1600620233497674,18.395484089395108,54.36189994339124
DaVita Dallas North Dialysis Center,-96.7461413172367,32.910836372663695,DC,TX,185.0,13,508.55,AE,0.0,8.787458831658123,2.929813797565424
Fresenius - Southeast Kidney Disease Center,-98.4010252517455,29.374328874228397,DC,TX,182.0,10,832.17,AO,0.0,32.15422962805297,8.112253078584319
DaVita Spring Branch Dialysis,-95.5234711900279,29.796508174014697,DC,TX,37.0,13,92.02,VE,0.005232443486249,0.0,42.127849557786455
DaVita Elmbrook Kidney Center,-96.8681919943445,32.8232341265509,DC,TX,124.0,13,508.55,AE,0.0,6.8989536202163695,3.1901008175861603
Fresenius - West Bexar County,-98.55221007118031,29.4170350064626,DC,TX,206.0,13,832.17,AO,0.0,9.848225585274443,8.371896166979422
DaVita Spring Dialysis,-95.4396180700561,30.0204040574184,DC,TX,38.0,13,92.02,VE,1.918277841561318,24.717163396952085,44.03717773741805
DaVita Oak Cliff,-96.83095214721001,32.7233718645622,DC,TX,161.0,13,508.55,AE,0.0,7.906099789234783,3.831495025407213
Fresenius Dialysis Services Of Southwest San Antonio,-98.5504305750764,29.353907069046503,DC,TX,197.0,13,832.17,AO,0.0,2.15387316994328,9.650254641454355
